United States	0.0034238696675064064
United States Census Bureau	0.0020078791359565353
The New York Times	0.0017253405762467458
World War II	0.0015418061186737656
United Kingdom	0.0013600435917293344
New York City	0.0012545708229670916
Germany	0.0011006874178189471
London	9.631456170962362E-4
Canada	9.553229556789992E-4
England	9.202739115570799E-4
Japan	8.610624363073337E-4
India	8.399677083566624E-4
Australia	8.12902296264488E-4
Italy	7.766229245469581E-4
2010 United States Census	7.594866938002611E-4
World War I	7.578315042297559E-4
California	7.572253883548071E-4
List of sovereign states	6.738680561767342E-4
Washington, D.C.	6.644179264564485E-4
Soviet Union	6.491304173356965E-4
Paris	6.443493531714571E-4
Democratic Party (United States)	6.368650948489718E-4
Netherlands	6.277215349186594E-4
Spain	6.214556640577618E-4
China	6.180347918419679E-4
Republican Party (United States)	6.169263934045203E-4
Russia	6.135552595765141E-4
Latin	6.119091803808114E-4
Marriage	5.902097197688562E-4
Europe	5.332217627795297E-4
Geographic Names Information System	5.323582023933755E-4
French language	5.260512650249649E-4
Scotland	5.232668476604735E-4
Sweden	4.971911028899033E-4
Oxford University Press	4.8672447992325154E-4
European Union	4.787536208429889E-4
Poland	4.7616028793534467E-4
Norway	4.718198578249111E-4
Switzerland	4.4682502598273287E-4
Brazil	4.4176948748768315E-4
Mexico	4.339086009111871E-4
Cambridge University Press	4.3097712083883685E-4
Ontario	4.292644562501786E-4
American Civil War	4.283176520081867E-4
Pennsylvania	4.146844157276927E-4
The Washington Post	4.135322432427703E-4
Los Angeles	4.129630316195401E-4
Los Angeles Times	4.1086754966144264E-4
Chicago	4.1062292872989055E-4
Texas	4.0762841768204053E-4
New Zealand	4.060388316654543E-4
United Nations	4.0221461194132213E-4
Belgium	4.017537835424433E-4
Spanish language	3.9487010848958094E-4
Conservative Party (UK)	3.825561359576052E-4
President of the United States	3.784743743772162E-4
Rome	3.7673660759156194E-4
German language	3.758148193126743E-4
Ottoman Empire	3.706340159111121E-4
BBC News	3.686972742282568E-4
Köppen climate classification	3.580237877945075E-4
Roman Empire	3.4630219056889605E-4
Toronto	3.46288923098846E-4
Catholic Church	3.4474482531200013E-4
Philadelphia	3.4261764007254247E-4
Philippines	3.395310215971161E-4
Christianity	3.308954408458445E-4
Denmark	3.3075722427980284E-4
Berlin	3.284058101498147E-4
North America	3.2787091105488433E-4
Massachusetts	3.24626057884475E-4
Greece	3.2454071919771056E-4
Greek language	3.2078426166280537E-4
Finland	3.0905526323375855E-4
Portugal	3.0516170943688925E-4
Time (magazine)	3.009249382186125E-4
Hong Kong	3.0076473734996296E-4
Virginia	3.00325597633167E-4
Illinois	2.9807102639225466E-4
Pakistan	2.9782103269095545E-4
Iran	2.917001570797267E-4
New Jersey	2.8769450530721107E-4
Middle Ages	2.8706037831318753E-4
Microsoft	2.8534526072354795E-4
Royal Navy	2.7571740266181733E-4
Ohio	2.7542883912176966E-4
Moscow	2.7027211165485095E-4
Vienna	2.7010052948490287E-4
Taiwan	2.6910201385062726E-4
San Francisco	2.690381868657971E-4
United States Congress	2.686248933185553E-4
The Times	2.68078629143277E-4
Communes of France	2.6658212143542434E-4
Ireland	2.655778719834009E-4
Wales	2.652162985280104E-4
AllMusic	2.6418794302960095E-4
National Register of Historic Places	2.6283827780728216E-4
British Columbia	2.6164135869903484E-4
Indonesia	2.610463055335883E-4
Barack Obama	2.609109005575748E-4
The Independent	2.5993000303981727E-4
Tokyo	2.5953805760447763E-4
Michigan	2.594825968485739E-4
Republic of Ireland	2.5850876039453885E-4
Ukraine	2.55118207982186E-4
Columbia University	2.5492594647837E-4
Nazi Germany	2.5192732932922577E-4
Buddhism	2.489667163160784E-4
George W. Bush	2.4670292013405246E-4
CBS	2.448219635700594E-4
Minnesota	2.445509422887905E-4
NBC	2.4271061071594685E-4
Singapore	2.425795988941192E-4
South Korea	2.4190347936902808E-4
Cold War	2.401550716165733E-4
International Phonetic Alphabet	2.3682859998036933E-4
Northern Ireland	2.349165396294407E-4
New South Wales	2.3479101492976555E-4
Romania	2.3146341961547903E-4
Rolling Stone	2.3057715464015218E-4
Microsoft Windows	2.2868778856720135E-4
Atlantic Ocean	2.286653078416101E-4
North Carolina	2.2827198063829748E-4
Maryland	2.262015727928947E-4
Sydney	2.2544090128286573E-4
USA Today	2.2476387988894795E-4
CNN	2.2329499075913242E-4
Native Americans in the United States	2.2324360990656644E-4
Holy Roman Empire	2.226944806629156E-4
Encyclopædia Britannica	2.2206034474027696E-4
Italian language	2.2174685122247818E-4
Hungary	2.214846255506113E-4
American Broadcasting Company	2.213686488693744E-4
British Empire	2.2080125154718728E-4
United States Army	2.2048278857654058E-4
The Wall Street Journal	2.185741507493752E-4
Major League Baseball	2.1842692464707654E-4
Pacific Ocean	2.1733315522404916E-4
Alaska	2.1473475560368453E-4
Asia	2.1458271340686678E-4
Wisconsin	2.1409354581245128E-4
Georgia (U.S. state)	2.1372930931396096E-4
Manhattan	2.1239721106784085E-4
Internet	2.1111379891299833E-4
Central European Time	2.1027686551252175E-4
Malaysia	2.0995298029502762E-4
French Revolution	2.0891980077540604E-4
NATO	2.0864911788594004E-4
Czech Republic	2.0697229743406973E-4
Athens	2.058391744833978E-4
Edinburgh	2.0408765902122768E-4
Southern United States	2.036018637836871E-4
Vietnam War	2.0315089034816293E-4
Church of England	2.0202877680321245E-4
University of Oxford	2.0080976095412223E-4
Forbes	2.002259860203378E-4
Russian language	2.0000326671971254E-4
Missouri	1.991896437457134E-4
Sanskrit	1.950825525977403E-4
National Park Service	1.946017528662789E-4
Yale University	1.9356986107307533E-4
Dublin	1.931612737180811E-4
Supreme Court of the United States	1.9265071883291444E-4
Hawaii	1.9179689513134355E-4
Bill Clinton	1.9107706215094346E-4
Chile	1.9048509619952535E-4
Stockholm	1.8916967777877174E-4
National Football League	1.879900847559485E-4
Portuguese language	1.8791889342858835E-4
Puerto Rico	1.8721678228434486E-4
Munich	1.871914759460714E-4
Colombia	1.869976449549831E-4
Thailand	1.8623426415147556E-4
Brussels	1.8619263689237836E-4
Peru	1.861891100365399E-4
Ancient Greek	1.8420438203436238E-4
Association football	1.8335031340761901E-4
Louisiana	1.832944164570053E-4
Routledge	1.8325734460631406E-4
Central European Summer Time	1.8319205468696678E-4
American Revolutionary War	1.8317463830432056E-4
Parliament of the United Kingdom	1.8253184439258086E-4
Cuba	1.820878543246492E-4
South America	1.8155014681750598E-4
Chicago Tribune	1.814229903960642E-4
Muslim	1.8131074071313274E-4
Ronald Reagan	1.8052127187373777E-4
Stanford University	1.7973246925283325E-4
Hinduism	1.797007127903628E-4
Franklin D. Roosevelt	1.7904848990966786E-4
Colorado	1.7896988865644995E-4
Departments of France	1.783207494421923E-4
YouTube	1.7613542472213345E-4
Serbia	1.7571388753906517E-4
Jerusalem	1.745167420022484E-4
Ancient Rome	1.7428800703660734E-4
Bulgaria	1.7413486216663412E-4
Tennessee	1.721918999586227E-4
German Empire	1.719816765423632E-4
Alexa Internet	1.7185759664226652E-4
British Army	1.7182295837025397E-4
Afghanistan	1.712740008654411E-4
Croatia	1.708416089995975E-4
Eastern Orthodox Church	1.7080514076991734E-4
Amsterdam	1.707019241859037E-4
Pulitzer Prize	1.6984426879196077E-4
International Monetary Fund	1.6938980486789793E-4
Ottawa	1.6882159470420744E-4
Vietnam	1.6876074683175166E-4
Adolf Hitler	1.6875132117210705E-4
Renaissance	1.6805233023136016E-4
United States Board on Geographic Names	1.6697916313104856E-4
House of Lords	1.6662709925231752E-4
Atlanta	1.658821019095407E-4
Bachelor of Arts	1.6488964464057946E-4
Alberta	1.640191078478372E-4
Kentucky	1.6381862688729257E-4
Geneva	1.6367148028270542E-4
Google	1.6294779705528759E-4
Mississippi River	1.624958727866463E-4
Federal government of the United States	1.6232314967702235E-4
Princeton University	1.6219580090799557E-4
Milan	1.6170154532468926E-4
Connecticut	1.6112182179180604E-4
Prague	1.6038528262508922E-4
Constantinople	1.6007429459356177E-4
Richard Nixon	1.5979046908415201E-4
Venezuela	1.597806253134672E-4
Morocco	1.5946106612878662E-4
Carl Linnaeus	1.582513556354744E-4
Glasgow	1.5785951664469973E-4
The Economist	1.5668778617944812E-4
The New Yorker	1.5647552241145467E-4
Judaism	1.5642647543691977E-4
European Parliament	1.5585794608778274E-4
Hamburg	1.554230426234066E-4
Donald Trump	1.5485820625579612E-4
National Hockey League	1.546918134435612E-4
Mexico City	1.5445526599303176E-4
Eastern Time Zone	1.5416025333160033E-4
Mayor	1.5370626400527135E-4
GEOnet Names Server	1.5233029509831446E-4
City	1.5216790921815696E-4
Earth	1.5181716592544447E-4
Detroit	1.5092581719826074E-4
Winston Churchill	1.5083742179244656E-4
Billboard Hot 100	1.5069638382389774E-4
Warsaw	1.4998831867574453E-4
Chinese language	1.4978746160409178E-4
Roman Republic	1.4922920754517055E-4
George Washington	1.4900279481117938E-4
Bible	1.479670987070901E-4
Order of the British Empire	1.4763885933242573E-4
Victoria (Australia)	1.4740610508314842E-4
Internet Archive	1.473607275505067E-4
Sri Lanka	1.4684613349701779E-4
Royal Air Force	1.4635252882340332E-4
DNA	1.459044283601208E-4
Iceland	1.4583269435457995E-4
New Mexico	1.452406629983246E-4
Utah	1.451529016627591E-4
Persian language	1.4510912533480044E-4
ESPN	1.4475679813588175E-4
Oklahoma	1.4463073820952156E-4
University of Chicago	1.4365285534088598E-4
Florence	1.435374220701204E-4
Bavaria	1.433406740390675E-4
Nevada	1.4286951914910473E-4
Alabama	1.4241890425238811E-4
PDF	1.4236137274056438E-4
Maine	1.4206527946499656E-4
Oxford	1.4162036951180732E-4
South Carolina	1.412604957917309E-4
University of California, Berkeley	1.4106139673602792E-4
Entertainment Weekly	1.4102880277652957E-4
United States Constitution	1.4082426128338583E-4
Slovakia	1.4075068401742883E-4
Queensland	1.4074263688731084E-4
Manchester	1.4070357553466872E-4
European Commission	1.39710864608914E-4
Sicily	1.3946725605407985E-4
Saudi Arabia	1.3943460557055526E-4
West Germany	1.383344663040422E-4
Abraham Lincoln	1.3828842195856767E-4
Massachusetts Institute of Technology	1.382395481366134E-4
Korean War	1.3790964365821779E-4
Middle East	1.378252866137621E-4
West Virginia	1.3759547633846456E-4
Mediterranean Sea	1.375260292699582E-4
Venice	1.373877534914654E-4
Liberal Party of Canada	1.3661923535093922E-4
Nigeria	1.3634705444095046E-4
Prussia	1.363294098414016E-4
Western United States	1.3461827491842118E-4
John Wiley &amp; Sons	1.3460967252440788E-4
Nova Scotia	1.3460667811985782E-4
American Revolution	1.3458230038690045E-4
Henry VIII of England	1.3434379545366107E-4
National Oceanic and Atmospheric Administration	1.3413870069108738E-4
Austria-Hungary	1.3388730155261045E-4
Queen Victoria	1.3376647091592098E-4
Brooklyn	1.3360387331920204E-4
Lithuania	1.3322662511104004E-4
Kansas	1.3299442151285413E-4
Buenos Aires	1.3222147661494472E-4
Luxembourg	1.321955746200086E-4
Japanese language	1.3184687646922708E-4
Aristotle	1.3118108733476812E-4
Google Books	1.3098995828248275E-4
Thomas Jefferson	1.3088322622170604E-4
Apple Inc.	1.3083341666303105E-4
White House	1.307289616496792E-4
Copenhagen	1.3026781262430687E-4
Allies of World War II	1.2988967980345016E-4
Rotten Tomatoes	1.2982557190813923E-4
Nature (journal)	1.2977443375201717E-4
Bangladesh	1.2970490111376053E-4
Istanbul	1.2956416352053043E-4
University of Michigan	1.2943650266012535E-4
Napoleon	1.2923559497395593E-4
Prime Minister of the United Kingdom	1.286799842310915E-4
Rio de Janeiro	1.285434674734785E-4
United States Air Force	1.2833147191064376E-4
Vancouver	1.2828859664112496E-4
UK Singles Chart	1.2816108527343077E-4
United Kingdom of Great Britain and Ireland	1.2781209160191715E-4
Holy See	1.2750025866873924E-4
Broadsheet	1.2706233460025852E-4
Manitoba	1.2637583360515793E-4
Napoleonic Wars	1.263512389252521E-4
New Hampshire	1.2600579297399094E-4
Barcelona	1.2589286161260107E-4
Cyprus	1.2584599410191377E-4
Lebanon	1.256414650860676E-4
Olympic Games	1.2545863432991743E-4
House of Commons of the United Kingdom	1.254252626010417E-4
Oxford English Dictionary	1.2529617601970958E-4
Liverpool	1.248210164334944E-4
Polish language	1.24779984552745E-4
New Orleans	1.2404518423660214E-4
Royal Society	1.2404143584155943E-4
National Basketball Association	1.2403593931584718E-4
International Organization for Standardization	1.2398007401022437E-4
Kingdom of Great Britain	1.2380366392335964E-4
Federal Communications Commission	1.2364728127601035E-4
Rock music	1.2341293434367238E-4
Arabic	1.2316829424072553E-4
Ethiopia	1.2314577742367913E-4
Southeast Asia	1.226177900390396E-4
Shanghai	1.2214569941989038E-4
Algeria	1.2197532630305716E-4
Joseph Stalin	1.2192227164629888E-4
Midwestern United States	1.2070480450663659E-4
William Shakespeare	1.204750588427373E-4
War of 1812	1.1982632691030301E-4
East Germany	1.1977822318196727E-4
North Sea	1.1962747712660073E-4
Theodore Roosevelt	1.1956709875251558E-4
Australian Labor Party	1.1890699087263639E-4
The Sydney Morning Herald	1.1867731095239245E-4
Billboard 200	1.1842422534678336E-4
Julius Caesar	1.1744313557300055E-4
New Testament	1.1724605481763761E-4
Academy Awards	1.1719513185314783E-4
Slovenia	1.1711296876209932E-4
Georgia (country)	1.1691121218099285E-4
Oslo	1.163689753941264E-4
Harvard University Press	1.1634070758564784E-4
Columbia Records	1.1614024640912944E-4
Latin America	1.1610315588876702E-4
Broadway theatre	1.1583881229737877E-4
Lisbon	1.1582850621711501E-4
Budapest	1.1553357989913909E-4
Czechoslovakia	1.1536440389082645E-4
Nepal	1.1526896817324078E-4
Moon	1.1515040657654735E-4
Western Australia	1.1509636178710826E-4
Vermont	1.150960704618097E-4
Test cricket	1.1471169696505977E-4
Americas	1.1464156604186719E-4
Australian Broadcasting Corporation	1.1452050721586899E-4
Mumbai	1.1443564326221456E-4
Baltic Sea	1.143770634400952E-4
Charles II of England	1.1389883125229992E-4
City of London	1.1350355257139866E-4
Kent	1.1331076478354153E-4
Arkansas	1.1308797067209416E-4
Black Sea	1.1295134812485008E-4
Rhine	1.1285458113709012E-4
World Wide Web	1.1267309674068976E-4
Financial Times	1.119066274425975E-4
September 11 attacks	1.1146707569275371E-4
National Collegiate Athletic Association	1.114284177331129E-4
Belarus	1.114035909527461E-4
Ecuador	1.112529866522777E-4
Cologne	1.1113469834814863E-4
United States Postal Service	1.1028788823991476E-4
Hebrew language	1.1011786088038421E-4
Nebraska	1.0958707705013265E-4
Welsh language	1.0949739697445652E-4
Kenya	1.0937938182244403E-4
Kingdom of Prussia	1.0928985881780213E-4
Hindu	1.0906810737250518E-4
World Health Organization	1.0878652148443175E-4
Liberal Party (UK)	1.0871162779051159E-4
Amtrak	1.0852673293560832E-4
Bronze Age	1.0847793247991071E-4
Confederate States of America	1.0812132569065046E-4
Augustus	1.0809448365683835E-4
North Korea	1.077512211336433E-4
Unicode	1.0740074878851463E-4
Indigenous peoples of the Americas	1.0712915800257492E-4
English Civil War	1.0686460328325515E-4
League of Nations	1.0673337027855197E-4
